open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,taker_buy_asset_volume,taker_buy_quote_volume,number_of_trades,price
1734536100000,104145.33000000,104473.68000000,104074.66000000,104443.34000000,139.37321000,1734536399999,14533996.26466540,46880,71.78615000,7485474.76583750,104294.33499999999
1734536400000,104443.35000000,104523.61000000,104264.32000000,104396.68000000,133.66882000,1734536699999,13958685.65528030,31699,64.18889000,6703995.49331640,104420.015
1734536700000,104396.69000000,104498.09000000,104266.37000000,104485.36000000,162.84598000,1734536999999,16997278.53307950,39206,79.88841000,8337975.67730220,104441.025
1734537000000,104485.35000000,104569.41000000,104392.43000000,104392.43000000,141.94365000,1734537299999,14830892.64089380,40311,73.71325000,7701922.33654480,104438.89
1734537300000,104392.42000000,104495.53000000,104338.92000000,104428.54000000,99.37675000,1734537599999,10377462.53064050,21598,46.79092000,4885353.75510670,104410.48
1734537600000,104428.54000000,104474.14000000,104320.00000000,104326.23000000,122.18180000,1734537899999,12756153.49094030,30975,60.03623000,6267437.76725180,104377.385
1734537900000,104326.24000000,104357.71000000,104179.04000000,104235.18000000,110.23199000,1734538199999,11493516.20227300,39234,51.61443000,5381647.10003430,104280.70999999999
1734538200000,104235.19000000,104281.16000000,103863.84000000,103899.22000000,108.59424000,1734538499999,11302582.06465660,27107,37.82066000,3936502.65934180,104067.205
1734538500000,103899.22000000,103899.22000000,103500.00000000,103564.78000000,357.75717000,1734538799999,37067836.18114530,50177,192.03501000,19897810.93434800,103732.0
1734538800000,103564.78000000,103685.61000000,103380.43000000,103572.35000000,445.83205000,1734539099999,46155142.77008790,50437,285.98704000,29610250.32002720,103568.565
1734539100000,103572.35000000,103821.20000000,103440.15000000,103773.12000000,267.03023000,1734539399999,27658100.67043280,45817,177.53939000,18386155.73517330,103672.735
1734539400000,103773.12000000,103942.65000000,103723.54000000,103842.44000000,243.92905000,1734539699999,25332577.78242270,39711,158.84988000,16495700.07732840,103807.78
1734539700000,103842.44000000,104100.00000000,103751.66000000,103994.87000000,133.15949000,1734539999999,13840463.00871370,27057,81.96084000,8519717.91292770,103918.655
1734540000000,103994.88000000,104219.24000000,103980.00000000,104162.95000000,67.27270000,1734540299999,7003773.44941510,22353,40.61824000,4228393.55852390,104078.91500000001
1734540300000,104162.95000000,104210.92000000,103989.53000000,103989.54000000,153.26629000,1734540599999,15950382.73104100,28622,31.09033000,3236763.96119510,104076.245
1734540600000,103989.53000000,104277.47000000,103989.53000000,104205.33000000,81.15235000,1734540899999,8451190.07562480,19118,48.84753000,5086382.44714250,104097.43
1734540900000,104205.91000000,104262.94000000,104053.25000000,104199.62000000,75.56889000,1734541199999,7873008.80989560,18388,34.26027000,3569251.82928730,104202.765
1734541200000,104199.63000000,104208.39000000,103917.16000000,104041.97000000,96.65251000,1734541499999,10057749.60561180,29190,47.49813000,4941618.49498420,104120.8
1734541500000,104041.96000000,104099.67000000,103876.00000000,104021.59000000,98.23360000,1734541799999,10211677.47963890,25728,41.75048000,4339735.13253750,104031.775
1734541800000,104021.58000000,104289.78000000,103978.01000000,104258.30000000,68.65161000,1734542099999,7152033.65190660,14638,46.00897000,4793441.63543320,104139.94
1734542100000,104258.31000000,104386.30000000,104238.75000000,104372.73000000,105.31499000,1734542399999,10986467.14046610,16266,77.60623000,8095680.48724270,104315.51999999999
